"year","month","sido","signgu","quantity_ton"
2018,3,"경기도","의왕시",661741
2018,3,"경기도","용인시",3109897
2018,3,"경기도","파주시",810095
2018,3,"경기도","이천시",447379
2018,3,"경기도","화성시",2402850
2018,3,"경기도","광주시",410293
2018,3,"경기도","양주시",455473
2018,3,"경기도","포천시",208806
2018,3,"경기도","여주시",135487
2018,4,"경기도","수원시장안구",719592
2018,4,"경기도","수원시권선구",1024401
2018,4,"경기도","수원시팔달구",333790
2018,4,"경기도","수원시영통구",1294102
2018,4,"경기도","성남시중원구",4138
2018,4,"경기도","성남시분당구",12789
2018,4,"경기도","의정부시",105665
2018,4,"경기도","안양시",36494
2018,4,"경기도","부천시",320668
2018,4,"경기도","평택시",214761
2018,4,"경기도","동두천시",205416
2018,4,"경기도","고양시",12973
2018,4,"경기도","구리시",637550
2018,4,"경기도","남양주시",231748
2018,4,"경기도","오산시",709535
2018,4,"경기도","시흥시",4330
2018,4,"경기도","군포시",161094
2018,4,"경기도","의왕시",643999
2018,4,"경기도","용인시",2927834
2018,4,"경기도","파주시",751424
2018,4,"경기도","이천시",421958
2018,4,"경기도","화성시",2285663
2018,4,"경기도","광주시",447927
2018,4,"경기도","양주시",424938
2018,4,"경기도","포천시",193326
2018,4,"경기도","여주시",125912
2018,5,"경기도","수원시장안구",768877
2018,5,"경기도","수원시권선구",1143186
2018,5,"경기도","수원시팔달구",364716
2018,5,"경기도","수원시영통구",1417249
2018,5,"경기도","성남시중원구",4380
2018,5,"경기도","성남시분당구",13888
2018,5,"경기도","의정부시",125415
2018,5,"경기도","안양시",41207
2018,5,"경기도","부천시",351159
2018,5,"경기도","평택시",234329
2018,5,"경기도","동두천시",221166
2018,5,"경기도","고양시",14844
2018,5,"경기도","구리시",709293
2018,5,"경기도","남양주시",262948
2018,5,"경기도","오산시",781709
2018,5,"경기도","시흥시",25975
2018,5,"경기도","군포시",177976
2018,5,"경기도","의왕시",691839
2018,5,"경기도","용인시",3224039
2018,5,"경기도","파주시",820388
2018,5,"경기도","이천시",458190
2018,5,"경기도","화성시",2513209
2018,5,"경기도","광주시",228670
2018,5,"경기도","양주시",473909
2018,5,"경기도","포천시",214927
2018,5,"경기도","여주시",135326
2018,6,"경기도","수원시장안구",844367
2018,6,"경기도","수원시권선구",1237799
